File,Amplitude
252803_13.2.tdf,0.0004306
252803_14.2.tdf,0.00045
252803_15.3.tdf,0.0003838
252803_16.3.tdf,0.0006554
252803_17.3.tdf,0.0001297
252803_18.4.tdf,0.0008023
252803_19.4.tdf,0.000643
252803_20.5.tdf,0.0003862
252803_21.5.tdf,6.197e-05
252803_22.5.tdf,0.0003619
252803_25.6.tdf,0.0001997
252803_26.6.tdf,0.0003068
252803_27.6.tdf,0.0001797
252803_28.7.tdf,0.0005477
252803_29.7.tdf,0.000584
252803_30.7.tdf,0.000412
252803_31.8.tdf,0.0002401
252803_32.8.tdf,0.000441
252803_33.8.tdf,0.0003636
252803_34.9.tdf,0.0002675
252803_35.9.tdf,0.0005821
252803_36.9.tdf,0.0006493
252803_38.0.tdf,0.0003227
252803_39.0.tdf,0.0002355
252803_40.1.tdf,0.0002278
252803_41.1.tdf,0.000163
252803_42.1.tdf,0.0003574
252803_43.1.tdf,0.0007786
252803_44.2.tdf,0.0003777
252803_45.2.tdf,0.0004382
252803_46.2.tdf,0.0002422
252803_47.3.tdf,0.0005709
252803_48.3.tdf,0.0005227
252803_49.3.tdf,0.0006788
252803_50.4.tdf,0.0004297
252803_51.4.tdf,0.0004222
252803_52.4.tdf,0.0003956
252803_53.5.tdf,8.672e-05
252803_54.5.tdf,0.000756
252803_55.5.tdf,0.0006676
252803_56.6.tdf,3.706e-05
252803_57.6.tdf,9.594e-05
252803_58.6.tdf,0.0004039
252803_60.7.tdf,0.0006885
252803_61.7.tdf,0.000482
252803_62.8.tdf,0.0006446
252803_63.8.tdf,0.0001676
252803_64.8.tdf,8.433e-05
252803_65.9.tdf,0.000221
252803_66.9.tdf,0.0001553
252803_67.9.tdf,0.0008157
252803_69.0.tdf,0.0007226
252803_70.0.tdf,0.0006026
252803_71.0.tdf,0.0006367
252803_72.1.tdf,0.0006113
252803_73.1.tdf,0.0002582
252803_74.1.tdf,0.0003677
252803_75.2.tdf,0.0001573
252803_76.2.tdf,0.0002928
252803_77.2.tdf,0.0002587
252803_78.3.tdf,0.0001831
252803_79.3.tdf,0.0003946
252803_80.3.tdf,0.0001748
252803_81.4.tdf,0.0005741
252803_82.4.tdf,0.0003539
252803_83.4.tdf,0.0004263
252803_84.4.tdf,6.943e-05
252803_85.5.tdf,0.0007025
252803_86.5.tdf,0.0004324
252803_87.5.tdf,3.425e-05
252803_88.6.tdf,0.0004901
252803_89.6.tdf,0.0004728
252803_90.6.tdf,0.0003517
252803_91.7.tdf,0.0004678
252803_92.7.tdf,0.0008656
252803_93.7.tdf,0.0003604
252803_94.8.tdf,0.0001182
252803_95.8.tdf,0.0002938
252803_96.8.tdf,0.000859
252803_97.9.tdf,0.0004745
252803_98.9.tdf,0.0006658
252803_99.9.tdf,0.0002077
252803_102.0.tdf,0.000424
252803_103.0.tdf,0.0003335
252803_104.1.tdf,0.0001338
252803_105.1.tdf,0.0003676
252803_106.1.tdf,0.0002797
252803_107.2.tdf,0.0004528
252803_108.2.tdf,0.0006323
252803_109.2.tdf,9.645e-05
252803_110.3.tdf,0.0003135
252803_111.3.tdf,0.0001086
252803_112.3.tdf,0.0005163
252803_113.4.tdf,0.0005125
252803_114.4.tdf,0.0006457
252803_115.4.tdf,0.0002697
252803_116.4.tdf,0.0007043
252803_117.5.tdf,0.0004132
252803_118.5.tdf,0.0005535
252803_119.5.tdf,0.0002904
252803_120.6.tdf,0.0002374
252803_121.6.tdf,0.0001996
252803_122.6.tdf,0.000432
252803_123.7.tdf,0.0001558
252803_124.7.tdf,0.0003862
252803_125.7.tdf,0.000323
252803_126.8.tdf,0.0004546
252803_127.8.tdf,0.000597
252803_128.8.tdf,0.000481
252803_129.8.tdf,0.0009968
252803_130.9.tdf,5.55e-05
252803_131.9.tdf,0.0005097
252803_132.9.tdf,0.0004054
252803_134.0.tdf,0.0004984
252803_135.0.tdf,0.0004383
252803_136.0.tdf,0.0001299
252803_137.1.tdf,0.0002855
252803_138.1.tdf,0.0006469
252803_139.1.tdf,0.0004869
252803_140.2.tdf,0.0007188
252803_141.2.tdf,0.0009585
252803_142.2.tdf,0.0006066
252803_143.3.tdf,0.0004963
252803_144.3.tdf,0.0008952
252803_145.3.tdf,0.0005035
252803_146.4.tdf,0.0006535
252803_147.4.tdf,0.001754
252803_148.4.tdf,0.001154
252803_149.4.tdf,0.002071
252803_150.5.tdf,0.00259
252803_151.5.tdf,0.002332
252803_152.5.tdf,0.00393
252803_153.6.tdf,0.003762
252803_154.6.tdf,0.004557
252803_155.6.tdf,0.005342
252803_156.7.tdf,0.0056
252803_157.7.tdf,0.005873
252803_158.7.tdf,0.005127
252803_159.8.tdf,0.002246
252803_160.8.tdf,0.0004587
252803_161.8.tdf,0.0004793
252803_162.9.tdf,0.0004604
252803_163.9.tdf,0.0003139
252803_164.9.tdf,0.0002053
252803_166.0.tdf,0.0005704
252803_168.0.tdf,0.0002682
252803_169.1.tdf,0.0001931
252803_170.1.tdf,0.0002927
252803_171.1.tdf,1.744e-05
252803_172.1.tdf,0.0005698
252803_173.2.tdf,0.0005362
252803_174.2.tdf,0.0003309
252803_175.2.tdf,0.0004102
252803_176.3.tdf,0.0004651
252803_177.3.tdf,0.0005333
252803_178.3.tdf,0.000275
252803_179.4.tdf,0.0005157
252803_180.4.tdf,0.0005551
252803_181.4.tdf,0.0005823
252803_182.5.tdf,0.0003967
252803_183.5.tdf,0.0002303
252803_184.5.tdf,0.0001617
252803_185.5.tdf,0.0004983
252803_186.6.tdf,0.0001029
252803_187.6.tdf,0.0006861
252803_188.6.tdf,0.0002147
252803_189.7.tdf,0.0005923
252803_190.7.tdf,0.0004794
252803_191.7.tdf,0.0002944
252803_192.8.tdf,0.0003556
252803_193.8.tdf,0.0005451
252803_194.8.tdf,0.0002056
252803_195.9.tdf,0.0004945
252803_196.9.tdf,0.000346
252803_197.9.tdf,0.0001802
252803_199.0.tdf,0.0003682
252803_199.9.tdf,0.0005759
252803_200.0.tdf,0.0007111
252803_200.2.tdf,0.0002266
252803_200.3.tdf,0.0001805
252803_200.5.tdf,0.0004271
252803_200.7.tdf,0.0003125
252803_200.9.tdf,0.0003192
252803_201.0.tdf,0.0006021
252803_201.1.tdf,0.0002859
